rank,part_name,part_id,n_points,mean_plastic_strain,median_plastic_strain,p95_plastic_strain,max_plastic_strain,selected,selection_reason,cumulative_nodes
229,CH-BUMPER-RR-I-P1_331,331,5499,1.8055033024211298e-07,0.0,0.0,0.0003795769007410854,False,,
230,CH-TRUNK-SUPP-RR-R_447,447,1967,1.0487177348750265e-07,0.0,0.0,0.00016192228940781206,False,,
231,CH-CBN-CTR-CSL-P2-B_342,342,1087,8.074481883113549e-08,0.0,0.0,0.00014628269127570093,False,,
232,CH-RAILS-U-RR-EXT-R_409,409,1569,1.1148476586342326e-09,0.0,0.0,3.279742486483883e-06,False,,
233,OB-DOOR-RR-BRKT-T-R_261,261,207,7.899144671696945e-10,0.0,0.0,2.725205092701799e-07,False,,
234,CH-TRUNK-SIDE-RR-L_442,442,1789,7.676698166036999e-10,0.0,0.0,1.7167016039820737e-06,False,,
235,barrier_1,1,5,0.0,0.0,0.0,0.0,False,,
236,MC-A-ARM-FT-L_156,156,1568,0.0,0.0,0.0,0.0,False,,
237,MC-A-ARM-FT-R_157,157,1568,0.0,0.0,0.0,0.0,False,,
238,MC-A-ARM-RR-L_158,158,1720,0.0,0.0,0.0,0.0,False,,
239,MC-A-ARM-RR-R_159,159,1720,0.0,0.0,0.0,0.0,False,,
240,MC-BATTERY-TRAY_162,162,513,0.0,0.0,0.0,0.0,False,,
241,MC-BRAKE-CALIPER1-FT-L_163,163,57,0.0,0.0,0.0,0.0,False,,
242,MC-BRAKE-CALIPER1-FT-R_166,166,57,0.0,0.0,0.0,0.0,False,,
243,MC-RIM-RR-L_204,204,6302,0.0,0.0,0.0,0.0,False,,
244,MC-RIM-RR-R_205,205,6302,0.0,0.0,0.0,0.0,False,,
245,MC-SPINDLE-FT-L-SHELL_206,206,176,0.0,0.0,0.0,0.0,False,,
246,MC-SPINDLE-FT-R-SHELL_209,209,176,0.0,0.0,0.0,0.0,False,,
247,MC-TIRE-FT-L_210,210,3510,0.0,0.0,0.0,0.0,False,,
248,MC-TIRE-FT-R_211,211,3510,0.0,0.0,0.0,0.0,False,,
